# Version:            COMSOL 5.3.1.275
# Date:               Jul 26 2018, 11:57
# Table:              Probe Table 4 - 
# Time (h)               <T> Ice Region (K)	 Icy Patch<CosZ>	 <T>_floor (K), Floor     COSZ_floor
26.067409037737995	156.22517072209067	0.21186445416518424	185.1947359214962	0.4262113804691885
26.32294236605119	164.19624306400326	0.243998003692834	196.7353719426603	0.5139975860455361
26.57847569436439	169.85392181948282	0.2673826135175887	205.04877638651362	0.5848885525134125
27.089542350990783	175.35604962992224	0.28528013332050783	214.3555303552815	0.6677267542082941
27.600609007617177	174.1731936884329	0.26333895466629426	215.60799975842167	0.6644597579878864
28.11167566424357	166.59065412683827	0.20427827145969743	209.48077676717372	0.575492446212863
28.367208992556765	160.22359628504967	0.16295706019995965	203.50253426285224	0.5019307568080604
28.87827564918316	142.92893840611987	0.0720090898134065	184.40966180271278	0.3080649676668766
29.389342305809553	125.55853547399789	0.010761775823125319	151.48109480403193	0.07416675722981907
29.90040896243595	115.5281740714322	0			128.9651187078185	0
